name,category,address,roadAddress,district,latitude,longitude
유정김밥,김밥(도시락),대구광역시 달서구 상인동 1524 상인동서상가 111동 107호,"대구광역시 달서구 상인서로 39, 111동 107호 (상인동,상인동서상가)",달서구,35.813704,128.544222
유진식당,한식,대구광역시 달서구 두류동 481-11,"대구광역시 달서구 야외음악당로 201, 4층 (두류동)",달서구,35.853660,128.556911
유창반점,중국식,대구광역시 달서구 상인동 321-3,"대구광역시 달서구 월배로 162, 1층 (상인동)",달서구,35.816416,128.531788
유쾌한뭉티기,식육(숯불구이),대구광역시 달서구 성당동 0830-0001,대구광역시 달서구 야외음악당로 3 (성당동),달서구,35.837719,128.552670
유하반점,중국식,대구광역시 달서구 상인동 1533-19,대구광역시 달서구 상인로 120 (상인동),달서구,35.817314,128.545309
유호네돈까스,경양식,대구광역시 달서구 상인동 1454-1,"대구광역시 달서구 상원로 23, 1층 (상인동)",달서구,35.812170,128.536403
육년,한식,대구광역시 달서구 월성동 1218-1,"대구광역시 달서구 상원로 180-17, 1층 (월성동)",달서구,35.823548,128.527700
육대륙,한식,대구광역시 달서구 대천동 570-13,"대구광역시 달서구 월배로23길 70, 지상1층 (대천동)",달서구,35.817662,128.525615
육대식쪽갈비숯불닭갈비,한식,대구광역시 달서구 대곡동 0072-0002 외 2필지 (지상1층),"대구광역시 달서구 상화로 28, 지상1층 (대곡동)",달서구,35.808762,128.517629
육돈 성서이마트본점,식육(숯불구이),대구광역시 달서구 이곡동 1250-0018 (지상1층),"대구광역시 달서구 이곡동로 37, 지상1층 (이곡동)",달서구,35.854129,128.511492
육미갈비,식육(숯불구이),대구광역시 달서구 대천동 490-1,"대구광역시 달서구 진천로23길 33, 주건축물제1동 1층 (대천동)",달서구,35.816738,128.521420
육미갈비 성서이곡점,식육(숯불구이),대구광역시 달서구 이곡동 1250-19,"대구광역시 달서구 이곡동로 33, 1층 (이곡동)",달서구,35.854132,128.511265
육반장 광장코아 광코점,한식,대구광역시 달서구 감삼동 107-23,대구광역시 달서구 당산로 177 (감삼동),달서구,35.852579,128.548490
육본가,식육(숯불구이),대구광역시 달서구 도원동 616 나동 (지상1층),"대구광역시 달서구 월곡로 113 (도원동,나동 (지상1층))",달서구,35.807358,128.548902
육봉막걸리,정종/대포집/소주방,대구광역시 달서구 송현동 1935-0012 (지상1층),"대구광역시 달서구 월배로80길 22, 지상1층 (송현동)",달서구,35.829122,128.551822
육선생,식육(숯불구이),대구광역시 달서구 송현동 1040-4 (지상1층),"대구광역시 달서구 구마로52길 11 (송현동,(지상1층))",달서구,35.836622,128.555798
