quarter,emp_yoy,prod_yoy,firms_yoy,excess,cluster
2019Q3,0.06290550070521861,0.27052389420238954,0.11842105263157898,0.0002722653987702688,달성2차·국가산단
2019Q4,0.05998608211551848,0.33684816982643184,0.09584664536741205,0.0018551808308022335,달성2차·국가산단
2020Q1,0.08362033337925334,0.3411909131918498,0.07668711656441718,0.004259645224463284,달성2차·국가산단
2020Q2,0.04567340762140604,0.004439148900847956,0.05705705705705699,0.004020468128582004,달성2차·국가산단
2020Q3,-0.02906050955414008,-0.1606783595936906,0.04117647058823537,0.00458571163292055,달성2차·국가산단
2020Q4,0.027704831932773066,-0.19242308357150806,0.06997084548104948,0.010441564168321218,달성2차·국가산단
2021Q1,-0.005720823798627039,-0.02993346265089014,0.05982905982905984,0.005424858586402864,달성2차·국가산단
2021Q2,0.15090119721089335,0.5793544077365016,0.07102272727272729,0.0050684948490812565,달성2차·국가산단
2021Q3,0.19229192291922925,0.47660845437661337,0.07909604519774005,0.009045522546055219,달성2차·국가산단
2021Q4,0.10310463779225754,0.4625652769266406,0.08174386920980936,0.003013961308034834,달성2차·국가산단
2022Q1,-0.4881728679197034,-0.13076792775433932,-0.6370967741935484,0.0028041578438565964,달성2차·국가산단
2022Q2,-0.5289208962048468,-0.07500288879344363,-0.6312997347480106,0.0024590713492498714,달성2차·국가산단
2022Q3,-0.5223521320495186,0.5014977769836348,-0.6335078534031413,-0.006316945469104789,달성2차·국가산단
2022Q4,-0.48888116747741484,0.6313177433598602,-0.6473551637279598,-0.01397608977331302,달성2차·국가산단
2023Q1,0.08068948288783417,1.3700942405188559,0.11111111111111116,-0.01320173407442176,달성2차·국가산단
2023Q2,0.1368599854404271,0.973622773368217,0.1079136690647482,-0.014276664767229497,달성2차·국가산단
2023Q3,0.1101511879049677,0.31513293292452427,0.13571428571428568,-0.010492476486328589,달성2차·국가산단
2023Q4,0.027418989349648815,0.012392052667606457,0.3214285714285714,-0.007431342146953705,달성2차·국가산단
2024Q1,0.07628294036061023,-0.032826743424919536,0.26,-0.0033649890819034615,달성2차·국가산단
2024Q2,0.06531483457844178,-0.4023519604845798,0.3116883116883118,-0.003477640242562422,달성2차·국가산단
2024Q3,0.3847816688283614,-0.47104588939987513,0.2767295597484276,-0.0016680965012957527,달성2차·국가산단
2024Q4,0.42721658579620647,-0.4672522929069952,0.12432432432432439,-0.004385984736852203,달성2차·국가산단
2025Q1,0.30133161512027495,-0.2835927767881694,0.1164021164021165,-0.006340085063651207,달성2차·국가산단
2025Q2,0.2011620917651773,0.5624877157364465,0.06930693069306937,-0.006003526282384309,달성2차·국가산단
